Date	Species	Strain	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
06/24/22	Cg	yH262	msn4Δ	MO	45 min	2 hr	60 mM	1000	18
06/24/22	Cg	yH262	msn4Δ	PM	45 min	2 hr	0 mM	1000	596
06/24/22	Cg	yH262	msn4Δ	PO	45 min	2 hr	40 mM	1000	127
06/24/22	Cg	yH262	msn4Δ	PO	45 min	2 hr	60 mM	1000	61
06/24/22	Cg	yH275	msn2Δmsn4Δ	MM	45 min	2 hr	0 mM	1000	765
06/24/22	Cg	yH275	msn2Δmsn4Δ	MO	45 min	2 hr	40 mM	1000	49
06/24/22	Cg	yH275	msn2Δmsn4Δ	MO	45 min	2 hr	60 mM	1000	12
06/24/22	Cg	yH275	msn2Δmsn4Δ	PM	45 min	2 hr	0 mM	1000	682
06/24/22	Cg	yH275	msn2Δmsn4Δ	PO	45 min	2 hr	40 mM	1000	89
06/24/22	Cg	yH275	msn2Δmsn4Δ	PO	45 min	2 hr	60 mM	1000	34
06/20/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	602
06/20/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	13
06/20/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	2
06/20/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	570
06/20/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	107
06/20/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	97
06/20/22	Cg	yH273	msn2Δ	MM	45 min	2 hr	0 mM	1000	781
06/20/22	Cg	yH273	msn2Δ	MO	45 min	2 hr	80 mM	1000	10
06/20/22	Cg	yH273	msn2Δ	MO	45 min	2 hr	100 mM	1000	6
06/20/22	Cg	yH273	msn2Δ	PM	45 min	2 hr	0 mM	1000	588
06/20/22	Cg	yH273	msn2Δ	PO	45 min	2 hr	80 mM	1000	72
06/20/22	Cg	yH273	msn2Δ	PO	45 min	2 hr	100 mM	1000	69
06/20/22	Cg	yH262	msn4Δ	MM	45 min	2 hr	0 mM	1000	531
06/20/22	Cg	yH262	msn4Δ	MO	45 min	2 hr	40 mM	1000	25
06/20/22	Cg	yH262	msn4Δ	MO	45 min	2 hr	60 mM	1000	3
06/20/22	Cg	yH262	msn4Δ	PM	45 min	2 hr	0 mM	1000	592
06/20/22	Cg	yH262	msn4Δ	PO	45 min	2 hr	40 mM	1000	126
06/20/22	Cg	yH262	msn4Δ	PO	45 min	2 hr	60 mM	1000	69
06/20/22	Cg	yH275	msn2Δmsn4Δ	MM	45 min	2 hr	0 mM	1000	633
