Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,B12,12967,9597,11637,5856.43,55.16,48.15
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,C9,6899,9109,14172,8099.06,75.41,81.87
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,C10,14070,20799,22854,12531.94,53.91,53.57
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,C11,5219,4467,8405,3677.69,71.16,72.09
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,C12,12427,11077,12582,5709.11,47.7,44.56
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,D9,6380,8768,13900,8423.24,79.46,87.25
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,D10,15044,25350,28120,13563.85,49.44,48.99
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,D11,5936,3872,6415,3286.68,72.69,76.24
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,D12,13641,10648,13088,5275.46,46.26,44.61
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,E9,4897,2985,6914,4004.51,95.07,94.87
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,E11,4485,1523,759,1894.9,90.52,79.05
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,F9,15680,28242,32399,14432.79,47.16,47.71
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,F11,14875,14618,14508,6591.87,42.22,39.73
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,G9,15663,29799,30209,13475.35,42.13,40.58
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,G11,15243,14318,13919,6307.22,41.3,38.07
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,H9,15531,30479,30198,14437.62,44.02,43.8
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,H11,14273,13568,14487,6324.49,43.53,40.02
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,E10,15629,22893,30139,12759.93,51.44,53.12
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,F10,15374,22276,28800,12710.46,52.15,53.57
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,G10,15390,23793,25067,13352.58,51.51,52.69
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,E12,12411,8209,10380,3991.53,45.42,42.75
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,F12,12196,8281,9002,3953.29,44.8,43.11
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,G12,12920,8456,9832,4095.32,45.57,42.79
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,A9,14205,15488,16429,6375.82,39.09,37.84
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,A10,14166,16019,17135,6459.95,38.36,37.75
Rep1-0Pi-Ctrl,d121521-60min-0Pi-gtr1-R1,60min,A11,12361,11508,12100,5180.17,42.41,40.34
