Plate,Sample,Treatment,Species,Gate,X Parameter,Count,%Total,%Gated,X Mean,X Median,X Peak,X SD,X %CV,X rSD,X %rCV
d032323-DCFCA-R4,A11,0Pi,Sc,High_ROS,BL1-H,5792,6.253,19.307,1807,1205,1012,2468.61,136.59,215.72,17.91
d032323-DCFCA-R4,A12,0Pi,Sc,High_ROS,BL1-H,5120,5.416,17.067,1979,1209,1013,2912.46,147.17,229.8,19.01
d032323-DCFCA-R4,B11,0.2mM,Sc,High_ROS,BL1-H,4350,4.266,14.5,1458,1152,1013,3475.8,238.38,149,12.94
d032323-DCFCA-R4,B12,0.2mM,Sc,High_ROS,BL1-H,4811,4.568,16.414,1899,1150,1013,6920.44,364.42,145.29,12.63
d032323-DCFCA-R4,C11,1mM,Sc,High_ROS,BL1-H,11972,14.161,39.907,3647,1279,1013,8637.13,236.8,286.88,22.44
d032323-DCFCA-R4,C12,1mM,Sc,High_ROS,BL1-H,9738,11.795,35.091,2410,1235,1012,6749.56,280.09,231.29,18.73
d032323-DCFCA-R4,D11,2mM,Sc,High_ROS,BL1-H,13722,15.731,45.74,9018,1466,1013,15553.07,172.47,591.56,40.35
d032323-DCFCA-R4,D12,2mM,Sc,High_ROS,BL1-H,16706,19.619,55.687,19374,11501,40275,20241.45,104.48,15383.46,133.76
d032323-DCFCA-R4,E11,10mM,Sc,High_ROS,BL1-H,23147,25.132,78.239,36559,36945,42245,24113.66,65.96,24962.54,67.57
d032323-DCFCA-R4,E12,10mM,Sc,High_ROS,BL1-H,24263,29.151,81.559,37798,38657,49033,22413.99,59.3,22130.77,57.25
d032323-DCFCA-R4,H11,Ctrl,Sc,High_ROS,BL1-H,3499,3.817,11.663,1997,1186,1013,4693.57,234.97,203.12,17.13
d032323-DCFCA-R4,H12,Ctrl,Sc,High_ROS,BL1-H,3388,3.691,11.293,2315,1174,1012,5579.98,241.01,183.84,15.66
